ID,LAT,LONG,T_SEASON,TDIFF,T_SUMMER,T_WINTER,PRE_YEAR,PRE_SUMMER,PRE_WINTER,ELEV,SLOPE,ASPECT,TMIN_JUL,TMIN_JAN,PERC_SEA,SHRUB,SAVANNA,GRASS,LAKE,CROP,URBAN,MOSAIC,BARE,FOREST
2015,-208250,-1541404,239.8,22.19,29.94,23.71,1327.58,400.17,6.93,60.46,0.06,357.96,15.11,24.05,0,0,1,0,0,0,0,0,0,0
1515,-158250,-1541404,241.33,22.08,29.58,23.18,1385.6,414.33,7.23,57.29,0.11,315.84,14.8,24.06,0,0,1,0,0,0,0,0,0,0
1015,-108250,-1541404,247.09,21.59,28.41,21.93,1356.98,385.27,9,259.1,0.16,299.88,13.91,23.6,0,0,1,0,0,0,0,0,0,0
5815,-58250,-1541404,247.29,21.14,28.58,22.16,1265.11,333.71,8,354.28,0.08,321.66,14.36,23.14,0,0,1,0,0,0,0,0,0,0
8215,-8250,-1541404,248.98,20.68,29.02,22.6,1178.31,286.42,6,319.92,0.09,86.73,14.97,23.11,0,0,1,0,0,0,0,0,0,0
4115,41750,-1541404,247.11,20.06,29.56,23.17,1113.65,490.09,4,148.57,0.12,99.46,15.85,23.5,0,0,1,0,0,0,0,0,0,0
9115,91750,-1541404,242.72,19.32,29.53,23.27,1104.67,472.72,5,109.97,0.05,81.14,16.28,24.4,0,0,1,0,0,0,0,0,0,0
1415,141750,-1541404,236.59,18.34,29.02,22.88,1143.28,470.95,8,116.5,0.02,342.08,16.45,24.62,0,0,1,0,0,0,0,0,0,0
1915,191750,-1541404,229.55,17.29,29.54,23.64,1144.36,449.13,8,87.74,0.04,94.51,17.64,24.48,6.62,0,0.93,0,0,0,0,0,0,0
2415,241750,-1541404,221.34,16.35,29.6,23.85,1152.54,426.46,11,0,0.06,108.15,18.35,25.15,53.8,0,0.46,0,0,0,0,0,0,0
8915,891750,-1541404,163.4,16.1,28.3,24,1643.84,719.02,11,90.01,0.04,295.42,18.1,23.9,0,0,1,0,0,0,0,0,0,0
9415,941750,-1541404,166.36,15.49,27.83,23.53,1624.71,665.27,24.42,65.6,0.04,296.87,18,23.57,0,0,1,0,0,0,0,0,0,0
9915,991750,-1541404,170.54,14.66,27.36,22.97,1661.38,617.66,49.46,144.5,0.07,297.07,17.9,23.41,0,0,0.89,0,0,0,0,0,0,0.11
1015,1041750,-1541404,168.54,13.8,27.78,23.48,1645.12,559.87,69.28,247.49,0.08,53.77,18.8,23.15,51.7,0,0.17,0,0.04,0,0,0,0,0.27
4015,-408250,-1591404,235.37,21.28,29.88,23.81,1254.07,346.18,5.43,27.64,0.02,306.09,15.5,24.5,7.42,0,0.92,0,0,0,0,0.01,0,0
3515,-358250,-1591404,241.71,22.23,30.09,23.8,1241.28,349.05,5.3,5.68,0.04,285.12,15.07,24.26,0,0,1,0,0,0,0,0,0,0
3015,-308250,-1591404,251.89,22.74,30.1,23.6,1201.56,348.6,6.6,68.31,0.04,272.11,14.7,23.66,0,0,1,0,0,0,0,0,0,0
2515,-258250,-1591404,262.27,23.21,29.77,22.96,1205.26,367.72,7,100.07,0.02,289.33,13.96,23.41,0,0,1,0,0,0,0,0,0,0
2015,-208250,-1591404,271.26,23.49,30.02,22.96,1213.69,369.45,5.38,154.38,0.05,315.69,14.03,23.4,0,0,1,0,0,0,0,0,0,0
1515,-158250,-1591404,274.33,23.37,29.53,22.45,1237.99,371.83,7,179.87,0.08,307.17,13.65,22.94,0,0,1,0,0,0,0,0,0,0
1015,-108250,-1591404,274.49,22.99,29.25,22.16,1190.35,338.16,8.11,217.1,0.12,273.23,13.66,23.26,0,0,1,0,0,0,0,0,0,0
5815,-58250,-1591404,275.67,22.68,29.29,22.2,1128.31,296.35,7.08,397.55,0.04,190.95,13.9,22.8,0,0,1,0,0,0,0,0,0,0
8215,-8250,-1591404,273.73,22.19,29.6,22.6,1064.79,256.3,5,250.84,0.12,112.38,14.6,23.18,0,0,1,0,0,0,0,0,0,0
4115,41750,-1591404,273.97,21.66,30.38,23.29,1012.64,450.25,4,163.01,0.08,98.85,15.51,23.91,0,0,1,0,0,0,0,0,0,0
9115,91750,-1591404,270.44,20.71,29.71,22.71,1043.97,450.18,5.98,102.97,0.05,95.8,15.48,24.12,0,0,1,0,0,0,0,0,0,0
1415,141750,-1591404,262.38,19.57,29.99,23.18,1065.61,439.72,5.83,91.15,0.03,167.59,16.4,24.5,0,0,1,0,0,0,0,0,0,0
1915,191750,-1591404,251.98,18.38,30.03,23.44,1112.91,434.85,6,124.59,0.05,117.48,17.22,24.73,22.78,0,0.77,0,0,0,0,0,0,0
8915,891750,-1591404,180.03,17.03,28.4,23.74,1482.58,647.4,7,51.48,0.05,272.43,17.47,23.83,0,0,1,0,0,0,0,0,0,0
9415,941750,-1591404,182.17,16.68,28.04,23.32,1406.33,601.04,11.81,66.07,0.04,298.27,17.34,23.6,0,0,1,0,0,0,0,0,0,0
9915,991750,-1591404,183.48,16.13,27.75,23.03,1332.68,554.59,14.57,101.24,0.14,296.36,17.43,23.27,0,0,0.98,0,0,0,0,0,0,0.02
1015,1041750,-1591404,182.44,15.11,28.14,23.46,1439.9,569.42,29.15,180.06,0.12,35.04,18.2,22.58,34.7,0,0.08,0,0,0,0,0,0,0.57
